% Nondimensional horizontal velocity profile for a
% laminar boundary layer flow over a flat plate
%
% Here delta_99 represents the boundary layer thickness
% determined as the y location at which u/U=0.99
% 
%  y/delta_99   u/U
%-------------------------------------------------------
         0         0
    0.0164    0.0271
    0.0328    0.0542
    0.0492    0.0813
    0.0656    0.1084
    0.0820    0.1354
    0.0984    0.1624
    0.1148    0.1894
    0.1311    0.2164
    0.1475    0.2432
    0.1639    0.2700
    0.1803    0.2966
    0.1967    0.3231
    0.2131    0.3494
    0.2295    0.3756
    0.2459    0.4015
    0.2623    0.4272
    0.2787    0.4525
    0.2951    0.4776
    0.3115    0.5023
    0.3279    0.5266
    0.3443    0.5505
    0.3607    0.5740
    0.3770    0.5970
    0.3934    0.6194
    0.4098    0.6413
    0.4262    0.6626
    0.4426    0.6834
    0.4590    0.7034
    0.4754    0.7229
    0.4918    0.7416
    0.5082    0.7597
    0.5246    0.7770
    0.5410    0.7936
    0.5574    0.8095
    0.5738    0.8246
    0.5902    0.8390
    0.6066    0.8526
    0.6230    0.8655
    0.6393    0.8777
    0.6557    0.8891
    0.6721    0.8998
    0.6885    0.9098
    0.7049    0.9192
    0.7213    0.9278
    0.7377    0.9359
    0.7541    0.9433
    0.7705    0.9501
    0.7869    0.9564
    0.8033    0.9621
    0.8197    0.9674
    0.8361    0.9722
    0.8525    0.9765
    0.8689    0.9804
    0.8852    0.9839
    0.9016    0.9871
    0.9180    0.9899
    0.9344    0.9924
    0.9508    0.9947
    0.9672    0.9967
    0.9836    0.9984
    1.0000    1.0000
    1.0164    1.0014
    1.0328    1.0026
    1.0492    1.0036
    1.0656    1.0045
    1.0820    1.0053
    1.0984    1.0060
    1.1148    1.0066
    1.1311    1.0071
    1.1475    1.0075
    1.1639    1.0079
    1.1803    1.0082
    1.1967    1.0084
    1.2131    1.0087
    1.2295    1.0088
    1.2459    1.0090
    1.2623    1.0091
    1.2787    1.0092
    1.2951    1.0093
    1.3115    1.0094
    1.3279    1.0095
    1.3443    1.0095
    1.3607    1.0096
    1.3770    1.0096
    1.3934    1.0096
    1.4098    1.0097
    1.4262    1.0097
    1.4426    1.0097
    1.4590    1.0097
    1.4754    1.0097
    1.4918    1.0097
    1.5082    1.0097
    1.5246    1.0097
    1.5410    1.0097
    1.5574    1.0097
    1.5738    1.0097
    1.5902    1.0097
    1.6066    1.0097
    1.6230    1.0097
